id  radius  depth  num_of_branch_points  distance_to_end_point
1    55.8249    0    0    6
2    47.3249    1    0    5
3    7.51463    2    1    4
4    2.36837    3    1    3
5    3.24653    4    1    2
6    1.74658    5    1    1
7    1.99132    6    1    0
8    14.1896    2    1    16
9    8.62195    3    1    15
10    11.0543    4    1    14
11    16.419    5    1    13
12    19.1014    6    1    12
13    3.87078    7    2    13
14    3.64019    8    2    12
15    3.64019    9    2    11
16    3.64019    10    2    10
17    3.64019    11    2    9
18    3.64019    12    2    8
19    4.24264    13    2    7
20    4.24264    14    2    6
21    5.60686    15    2    5
22    4.37032    16    2    4
23    3.79285    17    2    3
24    5.21954    18    2    2
25    3.16228    19    2    1
26    3.16228    20    2    0
27    18.7837    7    2    11
28    4.06876    8    3    10
29    2.88562    9    3    9
30    2.88562    10    3    8
31    2.82843    11    3    7
32    2.82843    12    3    6
33    3.91421    13    4    5
34    4.8848    14    5    4
35    8.30993    15    6    3
36    1.92741    16    6    2
37    2.08174    17    6    1
38    3.10274    18    6    0
39    4.37084    15    6    9
40    3.37084    16    6    8
41    3.24697    17    6    7
42    3.0377    18    6    6
43    3.0377    19    6    5
44    9.31943    20    6    4
45    4.41042    21    6    3
46    2.47594    22    6    2
47    2.47594    23    6    1
48    7.08734    24    6    0
49    4.82843    15    6    9
50    2.49071    16    6    8
51    2.49071    17    6    7
52    2.23607    18    6    6
53    4.93865    19    6    5
54    4.64596    20    6    4
55    6.70176    21    6    3
56    18.3858    22    6    2
57    3.68457    23    7    13
58    3.4037    24    7    12
59    2.94721    25    7    11
60    2.49071    26    7    10
61    2.23607    27    7    9
62    2.23607    28    7    8
63    2.23607    29    7    7
64    3.60555    30    7    6
65    3.60555    31    7    5
66    3.60555    32    7    4
67    5.27246    33    7    3
68    5.25637    34    7    2
69    4.14574    35    7    1
70    4.07287    36    8    11
71    3.27188    37    8    10
72    3    38    8    9
73    3    39    8    8
74    1.99071    40    8    7
75    2.33262    41    8    6
76    1.66667    42    8    5
77    1.9714    43    8    4
78    2.73143    44    8    3
79    2.99535    45    8    2
80    2.25235    46    8    1
81    2.13707    47    8    0
82    2.62311    36    8    0
83    9.49822    23    7    13
84    4.367    24    7    12
85    3.80283    25    7    11
86    4.12311    26    7    10
87    4.12311    27    7    9
88    3.18287    28    7    8
89    2.24264    29    7    7
90    3.74264    30    7    6
91    3.62521    31    7    5
92    2.0626    32    7    4
93    2.5    33    7    3
94    5    34    7    2
95    4    35    7    1
96    4.23462    36    8    12
97    3.06466    37    8    11
98    3.02529    38    8    10
99    2.94654    39    8    9
100    5.14075    40    8    8
101    4.12311    41    8    7
102    4.12311    42    8    6
103    9.97421    43    8    5
104    6.76015    44    8    4
105    8.30451    45    8    3
106    5.40144    46    8    2
107    5.3887    47    9    1
108    4.02405    48    10    1
109    3.8148    49    10    0
110    2.24    48    10    5
111    2    49    10    4
112    2    50    10    3
113    5.60977    51    10    2
114    6.28081    52    10    1
115    3.11947    53    10    0
116    4.45774    48    10    0
117    5.20072    47    9    1
118    5.42879    48    9    0
119    3.5    36    8    0
120    10.9773    23    7    1
121    4.74578    24    8    0
122    5.82705    24    8    18
123    5.41353    25    8    17
124    2.75918    26    8    16
125    3    27    8    15
126    3    28    8    14
127    2.60555    29    8    13
128    2.60555    30    8    12
129    5.38516    31    8    11
130    4.38516    32    8    10
131    2.99779    33    8    9
132    2.10555    34    8    8
133    2.10555    35    8    7
134    3.10555    36    8    6
135    2.60555    37    8    5
136    2.24283    38    8    4
137    3.60555    39    8    3
138    4.30278    40    8    2
139    4.65139    41    8    1
140    5.12921    42    9    2
141    4.08842    43    9    1
142    1.58842    44    10    0
143    5.74295    44    10    0
